Created at,Title,Author(s),Publisher,Genre,Year Published,First Published,ISBN,Series,Volume
"09.11.2025","The Pharaoh’s Secret","Clive Cussler","Penguin Books","","2016","2015","978-1-405-91900-5","Numa Files","13"
"09.11.2025","Nighthawk","Clive Cussler","Penguin Books","","2018","2017","978-1-405-92387-3","Numa Files","14"
"09.11.2025","The Rising Sea","Clive Cussler","Michael Joseph","","2018","2018","978-0-718-18717-0","Numa Files","15"
"09.11.2025","Sea of Greed","Clive Cussler","Penguin Books","","2019","2018","978-1-405-93712-2","Numa Files","16"
"09.11.2025","Golden Buddha","Clive Cussler","Penguin Books","","2004","2003","0-141-01031-2","Oregon Files","1"
"09.11.2025","Sacred Stone","Clive Cussler","Penguin Books","","2006","2004","0-141-01032-0","Oregon Files","2"
"09.11.2025","Dark Watch","Clive Cussler","Berkley","","2006","2005","0-425-21092-8","Oregon Files","3"
"09.11.2025","Skeleton Coast","Clive Cussler","Berkley","","2012","2006","978-0-425-24571-2","Oregon Files","4"
"09.11.2025","Plague Ship","Clive Cussler","Penguin Books","","2009","2008","978-0-141-03319-8","Oregon Files","5"
"09.11.2025","Corsair","Clive Cussler","Berkley","","2010","2009","978-0-425-23329-0","Oregon Files","6"
"09.11.2025","The Silent Sea","Clive Cussler","Penguin Books","","2011","2010","978-0-241-95343-3","Oregon Files","7"
"09.11.2025","The Jungle","Clive Cussler","Putnam","","2011","2011","978-0-399-15704-2","Oregon Files","8"
"09.11.2025","Mirage","Clive Cussler","Penguin Books","","2014","2013","978-0-241-95712-7","Oregon Files","9"
"09.11.2025","Piranha","Clive Cussler","Penguin Books","","2016","2014","978-1-405-91443-7","Oregon Files","10"
"09.11.2025","The Emperor’s Revenge","Clive Cussler","Penguin Books","","2017","2016","978-1-405-92378-1","Oregon Files","11"
"09.11.2025","Typhoon Fury","Clive Cussler","Penguin Books","","2018","2017","978-1-405-92771-0","Oregon Files","12"
"09.11.2025","Shadow Tyrants","Clive Cussler","Michael Joseph","","2018","2018","978-0-241-34951-9","Oregon Files","13"
"09.11.2025","Final Option","Clive Cussler","Penguin Books","","2020","2019","978-1-405-94100-6","Oregon Files","14"
"09.11.2025","Marauder","Clive Cussler","Putnam","","2021","2020","978-0-593-08793-0","Oregon Files","15"
"09.11.2025","MASH","Richard Hooker","Harper Perennial","","2001","1968","0-688-14955-3",,
"09.11.2025","Ella Minnow Pea","Mark Dunn","Methuen","Epistolary","2003","2001","978-0-413-77295-4",,
"09.11.2025","The Road","Cormac McCarthy","Vintage International","Post-apocalyptic","2007","2006","978-0-307-38645-8",,
"09.11.2025","The Postman","David Brin","Orbit","Dystopian; Post-apocalyptic","2013","1985","978-0-356-50175-8",,
"09.11.2025","Earth Abides","George R. Stewart","Mariner Books","","2020","1949","978-0-358-38021-4",,
"09.11.2025","High-Rise","J.G. Ballard","Fourth Estate","Dystopian","2014","1975","978-0-586-04456-8",,
"09.11.2025","The Drowned World","J.G. Ballard","Fourth Estate","","2014","1962","978-0-00-722183-7",,
"09.11.2025","Cocaine Nights","J.G. Ballard","Harper Perennial","","2006","1996","978-0-00-655064-8",,
"09.11.2025","Empire of the Sun","J.G. Ballard","Panther Books (Granada)","",,"1984","0-586-06430-3",,
"09.11.2025","The Wind from Nowhere","J.G. Ballard","Penguin Books","","1974","1962",,,
"09.11.2025","Babel, or the Necessity of Violence","R.F. Kuang","Harper Voyager","","2022","2022","978-0-00-850181-5",,
"09.11.2025","The Talented Mr Ripley","Patricia Highsmith","Penguin Books","","1987","1955","0-14-004020-x",,
"09.11.2025","Give a Boy a Gun","Todd Strasser","Simon Pulse","","2002","2000","0-689-84893-5",,
"09.11.2025","The Catcher in the Rye","J.D. Salinger","Penguin Books","","2010","1945","978-0-241-95042-5",,
"09.11.2025","Tailchaser’s Song","Tad Williams","DAW Books","","2000","1985","0-88677-953-7",,
"09.11.2025","My Inventions","Nikola Tesla","Barnes &amp; Noble","","1995","1919","0-76070-085-0",,
"09.11.2025","The Andromeda Strain","Michael Crichton","Corgi Books","","1971","1969",,,
"09.11.2025","Cryptonomicon","Neal Stephenson","Avon Books","Speculative fiction","2002","1999","978-0-06-051280-4",,
"09.11.2025","Seveneves","Neal Stephenson","The Borough Press","","2016","2015","978-0-00-813254-5",,
"09.11.2025","Under the Dome","Stephen King","Hodder","","2010","2009","978-0-340-99258-6",,
"09.11.2025","Windhaven","Gerorge R. R. Martin; Lisa Tuttle","Bantam Spectra","","2003","1981","978-0-553-57790-7",,
"09.11.2025","Moby Dick, or the White Whale","Herman Melville","Collins","","1953","1851",,,
"09.11.2025","Strange Case of Dr. Jekyll and Mr. Hyde and other Stories","Robert Louis Stevenson","Könemann","","1995","1886","3-89508-079-9",,
"09.11.2025","The Picture of Dorian Gray","Oscar Wilde","Buccaneer Books","","1976","1891","0-89966-654-x",,
"09.11.2025","Frankenstein or, The Modern Prometheus","Mary Shelley","Penguin Classics","","2013","1818","978-0-141-39339-1",,
"09.11.2025","To Kill a Mockingbird","Harper Lee","Harper Perennial","","2002","1960","978-0-06-093546-7",,
"09.11.2025","One Flew Over the Cuckoo’s Nest","Ken Kesey","Penguin Classics","","2005","1962","978-0-141-18788-4",,
"09.11.2025","The Scarlet Letter","Nathaniel Hawthorne","Penguin Classics","","2016","1850","978-0-14-310766-8",,
"09.11.2025","A Psalm for the Wild-Built","Becky Chambers","TOR","Solarpunk","2021","2021","978-1-250-23621-0","Monk &amp; Robot","1"
"09.11.2025","A Prayer for the Crown-Shy","Becky Chambers","TOR","Solarpunk","2022","2022","978-1-250-23623-4","Monk &amp; Robot","2"
"09.11.2025","Howl’s Moving Castle","Diana Wynne Jones","Greenwillow Books","","2008","1986","978-0-06-147878-9",,
"09.11.2025","The Memory Police","Yoko Ogawa (Stephen Snyder)","Vintage","Dystopian","2020","1994","978-1-784-70044-7",,
"09.11.2025","Fahrenheit 451","Ray Bradbury","Simon &amp; Schuster Paperbacks","Dystopian","2012","1953","978-1-4516-9031-6",,
"09.11.2025","Brave New World","Aldous Huxley","Vintage Classics","Dystopian","2007","1932","978-0-099-47746-4",,
"09.11.2025","Make Room! Make Room!","Harry Harrison","Penguin Classics","Dystopian","2021","1966","978-0-241-50770-4",,
"09.11.2025","Do Anroids Dream of Electric Sheep?","Philip K. Dick","Orion","Dystopian; Cyberpunk","2007","1968","978-0-575-07993-9",,
"09.11.2025","It Can’t Happen Here","Sinclair Lewis","Penguin Books","Dystopian","2017","1935","978-0-241-31066-3",,
"09.11.2025","The Handmaid’s Tale","Margaret Atwood","Anchor Books","Dystopian","1998","1985","978-0-385-49081-8",,
"09.11.2025","The Testaments","Margaret Atwood","Anchor Books","Dystopian","2020","2019","978-0-525-56262-7",,
"09.11.2025","The Children of Men","P. D. James","faber and faber","Dystopian","2006","1992","978-0-571-23377-9",,
"09.11.2025","Slaughterhouse-Five","Kurt Vonnegut","Dell Publishing","","1991","1969","978-0-440-18029-6",,
"09.11.2025","The Hitchhikers Guide to the Galaxy","Douglas Adams","Pan Books","","1979","1979","0-330-25864-8","Hitchhiker&#039;s Guide Trilogy","1"
"09.11.2025","The Restaurant at the End of the Universe ","Douglas Adams","Pan Books","","1980","1980","0-330-26213-0","Hitchhiker&#039;s Guide Trilogy","2"
"09.11.2025","Life, the Universe and Everything","Douglas Adams","Pan Books","","1982","1982","0-330-26738-8","Hitchhiker&#039;s Guide Trilogy","3"
"09.11.2025","So Long, and Thanks for All the Fish","Douglas Adams","Pan Books","","1985","1984","0-330-28700-1","Hitchhiker&#039;s Guide Trilogy","4"
"09.11.2025","Mostly Harmless","Douglas Adams","Ballentine Books","","1993","1992","0-345-38650-7","Hitchhiker&#039;s Guide Trilogy","5"
"09.11.2025","The Salmon of Doubt","Douglas Adams","Pan Books","","2003",,"0-330-32312-1",,
"09.11.2025","Consider Phlebas","Iain M. Banks","Orbit","","2012","1987","978-1-85723-138-0","Culture","1"
"09.11.2025","The Player of Games","Iain M. Banks","Orbit","","2013","1988","978-1-85723-146-5","Culture","2"
"09.11.2025","Use of Weapons","Iain M. Banks","Orbit","","2012","1990","978-1-85723-135-9","Culture","3"
"09.11.2025","The Hydrogen Sonata","Iain M. Banks","Orbit","","2013","2012","978-0-356-50149-9","Culture","10"
"09.11.2025","Out of the Silent Planet","C. S. Lewis","Scribner","","1996",,"0-684-82380-2","Space Trilogy","1"
"09.11.2025","Perelandra","C. S. Lewis","Scribner","","1996",,"0-684-82382-9","Space Trilogy","2"
"09.11.2025","That Hideous Strength","C. S. Lewis","Scribner","","1996",,"0-684-82385-3","Space Trilogy","3"
"09.11.2025","2001: A Space Odyssey","Arthur C. Clarke","Penguin Books","","2016",,"978-0-143111573","Penguin Galaxy",
"09.11.2025","Nineteen Eighty-Four","George Orwell","Penguin Books","Dystopian","2008","1949","978-0-141-03614-4",,
"09.11.2025","Animal Farm","George Orwell","Penguin Books","","2008","1945","978-0-141-03613-7",,
"09.11.2025","Why I Write","George Orwell","Penguin Books","","2004","1946","978-0-14-101900-0",,
"09.11.2025","Down and Out in Paris and London","George Orwell","Penguin Books","","2001","1933","978-0-141-18438-8",,
"09.11.2025","Burmese Days","George Orwell","Penguin Books","","2009","1934","978-0-141-18537-8",,
"09.11.2025","Alice’s Adventure in Wonderland","Lewis Carroll","Macmillan","","2015","1865","978-1-4472-7999-0",,
"09.11.2025","Through the Looking-Glass and What Alice Found There","Lewis Carroll","Macmillan","","2015","1871","978-1-4472-8000-2",,
"09.11.2025","Lord of the Flies","William Golding","Penguin Books","","2013","1954","978-0-14-312429-0",,
"09.11.2025","The Time Machine","H. G. Wells","Bantam Classics","","2003","1895","978-0-553-21351-5",,
