Created at,Title,Author(s),Publisher,Genre,Year Published,First Published,ISBN,Series,Volume
"09.11.2025","Attack on Titan Band 13","Hajime Isayama","Carlsen Manga","",,,"978-3-551-79933-3","Attack on Titan","13"
"09.11.2025","Attack on Titan Band 14","Hajime Isayama","Carlsen Manga","",,,"978-3-551-79934-0","Attack on Titan","14"
"09.11.2025","Attack on Titan Band 15","Hajime Isayama","Carlsen Manga","",,,"978-3-551-79935-7","Attack on Titan","15"
"09.11.2025","Attack on Titan Band 16","Hajime Isayama","Carlsen Manga","",,,"978-3-551-79936-4","Attack on Titan","16"
"09.11.2025","Attack on Titan Band 17","Hajime Isayama","Carlsen Manga","",,,"978-3-551-79937-1","Attack on Titan","17"
"09.11.2025","Attack on Titan Band 18","Hajime Isayama","Carlsen Manga","",,,"978-3-551-79938-8","Attack on Titan","18"
"09.11.2025","Attack on Titan Band 19","Hajime Isayama","Carlsen Manga","",,,"978-3-551-79939-5","Attack on Titan","19"
"09.11.2025","Attack on Titan Band 20","Hajime Isayama","Carlsen Manga","",,,"978-3-551-79940-1","Attack on Titan","20"
"09.11.2025","Naruto Band 1","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-76251-1","Naruto","1"
"09.11.2025","Naruto Band 2","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-76252-8","Naruto","2"
"09.11.2025","Naruto Band 3","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-76253-5","Naruto","3"
"09.11.2025","Naruto Band 4","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-76254-2","Naruto","4"
"09.11.2025","Naruto Band 5","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-76255-9","Naruto","5"
"09.11.2025","Naruto Band 6","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-76256-6","Naruto","6"
"09.11.2025","Naruto Band 7","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-76257-3","Naruto","7"
"09.11.2025","Naruto Band 8","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-76258-0","Naruto","8"
"09.11.2025","Naruto Band 9","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-76259-7","Naruto","9"
"09.11.2025","Naruto Band 10","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-76260-3","Naruto","10"
"09.11.2025","Naruto Band 11","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-76261-0","Naruto","11"
"09.11.2025","Naruto Band 12","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-76262-7","Naruto","12"
"09.11.2025","Naruto Band 13","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-76263-4","Naruto","13"
"09.11.2025","Naruto Band 14","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-76264-1","Naruto","14"
"09.11.2025","Naruto Band 15","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-76265-8","Naruto","15"
"09.11.2025","Naruto Band 16","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77336-4","Naruto","16"
"09.11.2025","Naruto Band 17","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77337-1","Naruto","17"
"09.11.2025","Naruto Band 18","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77338-8","Naruto","18"
"09.11.2025","Naruto Band 19","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77339-5","Naruto","19"
"09.11.2025","Naruto Band 20","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77420-0","Naruto","20"
"09.11.2025","Naruto Band 21","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77421-7","Naruto","21"
"09.11.2025","Naruto Band 22","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77422-4","Naruto","22"
"09.11.2025","Naruto Band 23","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77423-1","Naruto","23"
"09.11.2025","Naruto Band 24","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77424-8","Naruto","24"
"09.11.2025","Naruto Band 25","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77425-5","Naruto","25"
"09.11.2025","Naruto Band 26","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77426-2","Naruto","26"
"09.11.2025","Naruto Band 27","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77427-9","Naruto","27"
"09.11.2025","Naruto Band 28","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77428-6","Naruto","28"
"09.11.2025","Naruto Band 29","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77429-3","Naruto","29"
"09.11.2025","Naruto Band 30","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77980-9","Naruto","30"
"09.11.2025","Naruto Band 31","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77981-6","Naruto","31"
"09.11.2025","Naruto Band 32","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77982-3","Naruto","32"
"09.11.2025","Naruto Band 33","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77983-0","Naruto","33"
"09.11.2025","Naruto Band 34","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77984-7","Naruto","34"
"09.11.2025","Naruto Band 35","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77985-4","Naruto","35"
"09.11.2025","Naruto Band 36","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77986-1","Naruto","36"
"09.11.2025","Naruto Band 37","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77987-8","Naruto","37"
"09.11.2025","Naruto Band 38","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77988-5","Naruto","38"
"09.11.2025","Naruto Band 39","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77989-2","Naruto","39"
"09.11.2025","Naruto Band 40","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77964-9","Naruto","40"
"09.11.2025","Naruto Band 41","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77965-6","Naruto","41"
"09.11.2025","Naruto Band 42","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77966-3","Naruto","42"
"09.11.2025","Naruto Band 43","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77967-0","Naruto","43"
"09.11.2025","Naruto Band 44","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77968-7","Naruto","44"
"09.11.2025","Naruto Band 45","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77969-4","Naruto","45"
"09.11.2025","Naruto Band 46","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77970-0","Naruto","46"
"09.11.2025","Naruto Band 47","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-78227-4","Naruto","47"
"09.11.2025","Naruto Band 48","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-78228-1","Naruto","48"
"09.11.2025","Naruto Band 49","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-78229-8","Naruto","49"
"09.11.2025","Naruto Band 50","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-78230-4","Naruto","50"
"09.11.2025","Naruto Band 51","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-78231-1","Naruto","51"
"09.11.2025","Naruto Band 52","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-78232-8","Naruto","52"
"09.11.2025","Naruto: Die Schriften des Rin","Masashi Kishimoto","Carlsen Manga","",,,"978-3-551-77340-1",,
"09.11.2025","Sandland","Akira Toriyama","Carlsen Comics","",,,"3-551-76201-5",,
"09.11.2025","Fairy Tail Band 1","Hiro Mashima",,"",,,,"Fairy Tail","1"
"09.11.2025","Fairy Tail Band 2","Hiro Mashima",,"",,,,"Fairy Tail","2"
"09.11.2025","Fairy Tail Band 3","Hiro Mashima",,"",,,,"Fairy Tail","3"
"09.11.2025","Fairy Tail Band 4","Hiro Mashima",,"",,,,"Fairy Tail","4"
"09.11.2025","Fairy Tail Band 5","Hiro Mashima",,"",,,,"Fairy Tail","5"
"09.11.2025","Fairy Tail Band 6","Hiro Mashima",,"",,,,"Fairy Tail","6"
"09.11.2025","Fairy Tail Band 7","Hiro Mashima",,"",,,,"Fairy Tail","7"
"09.11.2025","Fairy Tail Band 8","Hiro Mashima",,"",,,,"Fairy Tail","8"
"09.11.2025","Fairy Tail Band 9","Hiro Mashima",,"",,,,"Fairy Tail","9"
"09.11.2025","Fairy Tail Band 10","Hiro Mashima",,"",,,,"Fairy Tail","10"
"09.11.2025","Fairy Tail Band 11","Hiro Mashima",,"",,,,"Fairy Tail","11"
"09.11.2025","Fairy Tail Band 12","Hiro Mashima",,"",,,,"Fairy Tail","12"
"09.11.2025","Fairy Tail Band 13","Hiro Mashima",,"",,,,"Fairy Tail","13"
"09.11.2025","Fairy Tail Band 14","Hiro Mashima",,"",,,,"Fairy Tail","14"
"09.11.2025","Fairy Tail Band 15","Hiro Mashima",,"",,,,"Fairy Tail","15"
"09.11.2025","Fairy Tail Band 16","Hiro Mashima",,"",,,,"Fairy Tail","16"
"09.11.2025","Fairy Tail Band 17","Hiro Mashima",,"",,,,"Fairy Tail","17"
"09.11.2025","Fairy Tail Band 18","Hiro Mashima",,"",,,,"Fairy Tail","18"
"09.11.2025","Fairy Tail Band 19","Hiro Mashima",,"",,,,"Fairy Tail","19"
"09.11.2025","Fairy Tail Band 20","Hiro Mashima",,"",,,,"Fairy Tail","20"
"09.11.2025","Fairy Tail Band 21","Hiro Mashima",,"",,,,"Fairy Tail","21"
"09.11.2025","Fairy Tail Band 22","Hiro Mashima",,"",,,,"Fairy Tail","22"
"09.11.2025","Fairy Tail Band 23","Hiro Mashima",,"",,,,"Fairy Tail","23"
"09.11.2025","Fairy Tail Band 24","Hiro Mashima",,"",,,,"Fairy Tail","24"
"09.11.2025","Fairy Tail Band 25","Hiro Mashima",,"",,,,"Fairy Tail","25"
"09.11.2025","Fairy Tail Band 26","Hiro Mashima",,"",,,,"Fairy Tail","26"
"09.11.2025","Fairy Tail Band 27","Hiro Mashima",,"",,,,"Fairy Tail","27"
"09.11.2025","Fairy Tail Band 28","Hiro Mashima",,"",,,,"Fairy Tail","28"
"09.11.2025","Fairy Tail Band 29","Hiro Mashima",,"",,,,"Fairy Tail","29"
"09.11.2025","Fairy Tail Band 30","Hiro Mashima",,"",,,,"Fairy Tail","30"
"09.11.2025","Fairy Tail Band 31","Hiro Mashima",,"",,,,"Fairy Tail","31"
"09.11.2025","Fairy Tail Band 32","Hiro Mashima",,"",,,,"Fairy Tail","32"
"09.11.2025","Fairy Tail Band 33","Hiro Mashima",,"",,,,"Fairy Tail","33"
"09.11.2025","Fairy Tail Band 34","Hiro Mashima",,"",,,,"Fairy Tail","34"
"09.11.2025","Fairy Tail Band 35","Hiro Mashima",,"",,,,"Fairy Tail","35"
"09.11.2025","Fairy Tail Band 36","Hiro Mashima",,"",,,,"Fairy Tail","36"
"09.11.2025","Fairy Tail Band 37","Hiro Mashima",,"",,,,"Fairy Tail","37"
"09.11.2025","Fairy Tail Band 38","Hiro Mashima",,"",,,,"Fairy Tail","38"
"09.11.2025","Fairy Tail Band 39","Hiro Mashima",,"",,,,"Fairy Tail","39"
"09.11.2025","Fairy Tail Band 40","Hiro Mashima",,"",,,,"Fairy Tail","40"
"09.11.2025","Fairy Tail Band 41","Hiro Mashima",,"",,,,"Fairy Tail","41"
"09.11.2025","Fairy Tail Band 42","Hiro Mashima",,"",,,,"Fairy Tail","42"
"09.11.2025","Fairy Tail Band 43","Hiro Mashima",,"",,,,"Fairy Tail","43"
"09.11.2025","Fairy Tail Band 44","Hiro Mashima",,"",,,,"Fairy Tail","44"
"09.11.2025","Fairy Tail Band 45","Hiro Mashima",,"",,,,"Fairy Tail","45"
"09.11.2025","Fairy Tail Band 46","Hiro Mashima",,"",,,,"Fairy Tail","46"
"09.11.2025","Supergirl: Last Daughter of Krypton ","Michael Green; Mike Johnson; Mahmud Asrar","DC Comics","",,,"978-1-4012-3680-9","The New 52: Supergirl","1"
"09.11.2025","All Star Western: Guns and Gotham","Justin Gray; Jimmy Palmiotti; Moritat","DC Comics","",,,"978-1-4012-3709-7","The New 52: All Star Western","1"
"09.11.2025","DC Universe Presents: Deadman &amp; Challengers of the Unknown","Paul Jenkins; Dan DiDio; Bernard Chang; Jerry Ordway","DC Comics","",,,"978-1-4012-3716-5","The New 52: DC Universe Presents","1"
"09.11.2025","Teen Titans: It’s our Right to Fight","Scott Lobdell; Brett Booth; Norm Rapmund","DC Comics","",,,"978-1-4012-3698-4","The New 52: Teen Titans","1"
"09.11.2025","Red Hood and the Outlaws: Redemption","Scott Lobdell; Kenneth Rocafort","DC Comics","",,,"978-1-4012-3712-7","The New 52: Red Hood and the Outlaws","1"
"09.11.2025","Superboy: Incubation","Scott Lobdell; R.B. Silva; Rob Lean","DC Comics","",,,"978-1-4012-3485-0","The New 52: Superboy","1"
"09.11.2025","Voodoo: What Lies Beneath","Ron Marz; Sami Basri; Josh Williamson","DC Comics","",,,"978-1-4012-3561-1","The New 52: Voodoo","1"
"09.11.2025","All Star Batman","Frank Miller; Jim Lee","Panini Comics","",,,"978-3-86201-425-5",,
"09.11.2025","Green Arrow: Auferstehung","Kevin Smith; Phil Hester","Panini Comics","",,,"978-3-95798-477-7",,
"09.11.2025","Arrow: Vergeltung","Marc Guggenheim; Andrew Kreisberg","Panini Comics","",,,"978-3-86201-777-5",,
"09.11.2025","Deathstroke: Tödliche Mission","Tony S. Daniel; Sndu Florea; Tomeu Morey","Panini Comics","",,,"978-3-95798-491-3",,
"09.11.2025","The League of Extraordinary Gentlemen Volume 1","Alan Moore; Kevin O’Neill","Vertigo Comics","",,,"978-1-56389-858-7",,
"09.11.2025","The League of Extraordinary Gentlemen Volume 2","Alan Moore; Kevin O’Neill","Vertigo Comics","",,,"978-1-4012-0118-0",,
"09.11.2025","Flashpoint","Geoff Johns; Andy Kubert; Sandra Hope","DC Comics","",,,"978-1-4012-3338-9",,
"09.11.2025","Marvel","Alex Ross","Marvel","",,,"978-1-302-93413-2",,
"09.11.2025","The Fountainhead","Ayn Rand","Penguin Books","","2007","1943","978-0-141-18862-1",,
"09.11.2025","Atlas Shrugged","Ayn Rand","Signet","","1996","1957","978-0-451-19114-4",,
"09.11.2025","Dirk Gently&#039;s Holistic Detective Agency","Douglas Adams","Pan Books","","2012","1987","978-1-4472-2109-8",,
"09.11.2025","The Long Dark Tea-Time of the Soul","Douglas Adams","Pan Books","","2012","1988","978-1-4472-2110-4",,
"09.11.2025","The Salmon of Doubt","Douglas Adams","Pan Books","","2012","2002","978-1-4472-2626-0",,
